25720,NYKOPING/SKAVST AFB,3,58.783,16.917
25740,NORRKOPING,3,58.583,16.149
25750,OLANDS NORRA UDDE,3,57.367,17.1
25760,GLADHAMMAR,3,57.783,16.6
25820,LANDSORT,3,58.75,17.867
25840,GOTSKA SANDON,3,58.4,19.2
25860,HARSTENA,3,58.25,17.017
25880,FARO ISLAND,3,57.9,19.167
25890,GOTSKA SANDON,3,58.4,19.2
25900,VISBY,3,57.667,18.35
25920,OLANDS NORRA UDDE,3,57.367,17.1
26040,HALMSTAD (SWE-AFB),3,56.683,12.833
26050,HALLANDS VADERO,3,56.45,12.55
26060,KULLEN (LGT-H),3,56.3,12.45
26070,ANGELHOLM,3,56.3,12.85
26110,HELSINGBORG,3,56.033,12.767
26160,FALSTERBO,3,55.383,12.817
26200,TORUP,3,56.967,13.067
26220,LJUNGBY,3,56.85,13.883
26230,HORBY,3,55.867,13.667
26250,SKILLINGE,3,55.483,14.317
26260,OSBY,3,56.367,13.95
26280,HANO,3,56.017,14.85
26300,LJUNGBYHED(SWE-AFB),3,56.083,13.233
26350,MALMO,3,55.567,13.067
26360,MALMO/STURUP,3,55.55,13.367
26380,SMYGEHUK (LGT-H),3,55.333,13.35
26390,YSTAD,3,55.433,13.833
26400,VAXJO/URASA(SAFB),3,56.867,14.8
26410,VAXJO/KRONOBERG,3,56.933,14.733
26440,OLANDS SODRA UDDE,3,56.2,16.4
26480,VAXJO,3,56.85,14.833
26500,HANO ISLAND (LGT-H),3,56.017,14.85
26510,KRISTIANSTAD/EVEROD,3,55.917,14.083
26610,KOSTA,3,56.85,15.45
26640,RONNEBY/KALLINGE,3,56.267,15.267
26660,UNGSKAR,3,56.033,15.8
26700,KALMAR,3,56.683,16.3
26720,KALMAR,3,56.733,16.3
26800,HOBURG,3,56.917,18.15
27550,YLIVIESKA AIRPORT,5,64.033,24.717
27900,KUMLINGE KK,5,60.25,20.75
28010,KILPISJARVI,5,69.05,20.783
28050,KEVO,5,69.75,27.033
28070,IVALO,5,68.617,27.417
28075,ENONTEKIO,5,68.35,23.417
28230,MUONIO,5,67.967,23.683
28234,KITTILA,5,67.7,24.833
28360,SODANKYLA,5,67.367,26.65
28440,PELLO,5,66.8,24
28450,ROVANIEMI,5,66.567,25.833
28480,SALLA,5,66.817,28.667
28490,SALLA KK,5,66.833,28.683
28640,KEMI,5,65.783,24.583
28650,KUIVANIEMI,5,65.517,25.267
28660,PUDASJARVI,5,65.4,26.967
28670,PUDASJARVI,5,65.367,27.017
28690,KUUSAMO,5,65.967,29.183
28730,MARJANIEM,5,65.033,24.567
28740,HAILUOTO,5,65.033,24.733
28750,OULU,5,64.933,25.367
28790,SUOMUSSALMI,5,64.9,29.017
28970,KAJAANI,5,64.283,27.683
29010,MASSKAR,5,63.733,22.583
29030,KRUUNUPYY,5,63.717,23.15
29050,NIVALA,5,63.917,24.967
29100,VALASSAARET,5,63.433,21.067
29110,VAASA AIRPORT,5,63.05,21.767
29130,KAUHAVA,5,63.1,23.033
29135,KRUUNUPYY,5,63.717,23.133
29150,VIITASAARI,5,63.083,25.867
29170,KUOPIO,5,63.017,27.8
