22760,NORDMALING,3,63.567,19.5,5,2
22780,SKAGSUDDE (LGT-H),3,63.183,19.017,13,2
22820,PETISTRASK,3,64.566,19.7,258,2
22840,JARNASKLUBB,3,63.433,19.683,7,2
22860,UMEA,3,63.8,20.283,8,2
22861,SODERHAMN,3,61.25,17.1,28,2
22870,HOLMON,3,63.817,20.867,8,2
22880,HOLMOGADD,3,63.6,20.75,6,2
22930,SKELLEFTEA,3,64.599,21.067,44,2
22960,BJUROKLUBB (LGT-H),3,64.483,21.583,36,2
22970,BJUROKLUBB,3,64.483,21.583,43,2
22980,SVARTEBORG,3,58.567,11.55,70,2
23050,NASHUVUD,3,58.9,13.25,50,2
23060,RORBACKSNAS,3,61.133,12.817,459,2
23160,SARNA,3,61.7,13.183,425,2
23170,DRAVAGEN,3,62.1,13.617,566,2
23190,BORTNAN,3,62.75,13.85,467,2
23210,ALVDALEN,3,61.25,14.033,253,2
23240,SVEG,3,62.017,14.367,363,2
23290,HAMRA,3,61.667,15,455,2
23310,HUNGE,3,62.75,15.083,343,2
23330,LJUNGBY,3,56.833,13.917,155,2
23360,EDSBYN,3,61.383,15.833,163,2
23370,NORRHOG,3,62.283,15.667,320,2
23380,EDSBYN,3,61.367,15.717,185,2
23430,TORPSHAMMAR,3,62.5,16.283,100,2
23470,DELSBO,3,61.833,16.55,72,2
23550,KUGGOREN,3,61.7,17.533,10,2
23660,TIMRA/MIDLANDA,3,62.517,17.45,8,2
23680,BRAMON,3,62.217,17.75,18,2
23760,SODERHAMN (SWE-AFB),3,61.267,17.1,36,2
23780,SODERHAMN FLYGPLATS,3,61.45,17.167,27,2
23820,LUNGO,3,62.65,18.1,18,2
24000,OSTMARK,3,60.35,12.65,310,2
24030,NAVEN,3,58.7,13.117,53,2
24040,ARVIKA,3,59.667,12.583,75,2
24060,BLOMSKOG,3,59.283,12.05,110,2
24080,BLOMSKOG,3,59.217,12.083,171,2
24090,AMAL,3,59.05,12.7,60,2
24100,MALUNG,3,60.683,13.717,308,2
24110,ARVIKA,3,59.667,12.633,67,2
24150,KARLSTAD SOL,3,59.367,13.467,46,2
24180,KARLSTAD FLYGPLATS,3,59.45,13.467,100,2
24230,SUNNE,3,59.867,13.117,109,2
